video_id,title,description,body_part,video_url,bodyweight,cable,barbell,dumbbell,band,side_video
1,Band Calve Raises,This is a band assisted workout targeted to calves.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-calve-raise-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-calve-raise-side.mp4
2,Leg Press,This is a band assisted workout targeted to legs.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-leg-press-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-leg-press-side.mp4
3,Band Pushup,This is a band assisted workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-pushup-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-pushup-side.mp4
4,Band Romanian Deadlift,This is a band assisted workout targeted to hamstrings and glutes.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-romanian-deadlift-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-romanian-deadlift-side.mp4
5,Band Row,This is a band assisted workout targeted to back.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-row-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-row-side.mp4
6,Band Squat,This is a band assisted workout targeted to quads.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\male-band-squat-front.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\male-band-squat-side.mp4
7,Kneeling Single Arm Pulldown,This is a band assisted workout targeted to back.,Back,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\m-home-back-band-kneeling-single-arm-pulldown.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\m-home-back-band-kneeling-single-arm-pulldown-side.mp4
8,Biceps Band Curl,This is a band assisted workout targeted to biceps.,Biceps,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\m-home-biceps-band-curl.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\m-home-biceps-band-curl-side.mp4
9,Kneeling Band Pushup,This is a band assisted workout targeted to chest.,Chest,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\m-home-chest-band-pushup.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\m-home-chest-band-pushup-side.mp4
10,Band Glutes Kickback,This is a band assisted workout targeted to glutes.,Legs,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\bands\m-home-glutes-band-kickback.mp4,f,f,f,f,t,C:\Users\shinb\OneDrive\Documents\S_drive\video-downloads\side\band\m-home-glutes-band-kickback-side.mp4
